Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Barrera, Steven James","
COGS 1 - Introduction to Cognitive Sci (A)
",SP23,463,"
170
","
96.3%
","
99.4%
","
3.37
","
A- (3.73)
","
B+ (3.53)
"
"Boyle, Mary E. T.","
COGS 1 - Introduction to Cognitive Sci (A)
",WI23,462,"
234
","
98.7%
","
99.5%
","
2.52
","
A- (3.81)
","
A- (3.76)
"
"Barrera, Steven James","
COGS 1 - Introduction to Cognitive Sci (A)
",FA22,413,"
128
","
95.2%
","
97.6%
","
3.24
","
A- (3.81)
","
B+ (3.55)
"
"Boyle, Mary E. T.","
COGS 1 - Introduction to Cognitive Sci (A)
",SP22,432,"
168
","
90.1%
","
84.6%
","
4.05
","
B+ (3.37)
","
B+ (3.37)
"
"Barrera, Steven James","
COGS 1 - Introduction to Cognitive Sci (A)
",WI22,412,"
192
","
97.9%
","
99.5%
","
3.37
","
B+ (3.69)
","
B+ (3.44)
"
"Kiyonaga, Anastasia","
COGS 1 - Introduction to Cognitive Sci (A)
",FA21,415,"
176
","
96.5%
","
98.3%
","
3.19
","
A- (3.88)
","
A- (3.79)
"
"Barrera, Steven James","
COGS 1 - Introduction to Cognitive Sci (A)
",SP21,406,"
150
","
98.6%
","
99.3%
","
3.95
","
A- (3.82)
","
B+ (3.58)
"
"Barrera, Steven James","
COGS 1 - Introduction to Cognitive Sci (A)
",WI21,448,"
206
","
98.5%
","
99.0%
","
3.84
","
A- (3.73)
","
B+ (3.60)
"
"Barrera, Steven James","
COGS 1 - Introduction to Cognitive Sci (A)
",FA20,487,"
255
","
98.8%
","
99.6%
","
4.18
","
A- (3.76)
","
B+ (3.61)
"
"Barrera, Steven James","
COGS 1 - Introduction to Cognitive Sci (A)
",SP20,457,"
175
","
96.5%
","
97.6%
","
3.93
","
A- (3.72)
","
B+ (3.60)
"
"Boyle, Mary E. T.","
COGS 1 - Introduction to Cognitive Sci (A)
",WI20,490,"
334
","
80.8%
","
76.9%
","
4.04
","
B (3.25)
","
B (3.10)
"
"Yu, Angela J.","
COGS 1 - Introduction to Cognitive Sci (A)
",FA19,489,"
407
","
89.3%
","
88.0%
","
3.56
","
B+ (3.57)
","
B+ (3.34)
"
"Boyle, Mary E. T.","
COGS 1 - Introduction to Cognitive Sci (A)
",SP19,480,"
409
","
85.2%
","
85.2%
","
3.78
","
B+ (3.31)
","
B (3.07)
"
"Deak, Gedeon O.","
COGS 1 - Introduction to Cognitive Sci (A)
",WI19,469,"
369
","
95.0%
","
93.9%
","
3.38
","
B+ (3.62)
","
B+ (3.45)
"
